시도,시군구,업종,당월
강원특별자치도,양양군,화장품가게,11
강원특별자치도,양양군,휴대폰가게,8
강원특별자치도,영월군,LPG 충전소,4
강원특별자치도,영월군,pc방,0
강원특별자치도,영월군,가구점,5
강원특별자치도,영월군,가전제품수리점,14
강원특별자치도,영월군,가전제품판매점,6
강원특별자치도,영월군,간판광고물업,11
강원특별자치도,영월군,건강보조식품가게,22
강원특별자치도,영월군,건어물가게,6
강원특별자치도,영월군,건축사,8
강원특별자치도,영월군,곡물가게,22
강원특별자치도,영월군,공인노무사,0
강원특별자치도,영월군,과일가게,17
강원특별자치도,영월군,교습소ㆍ공부방,26
강원특별자치도,영월군,교습학원,27
강원특별자치도,영월군,구내식당,10
강원특별자치도,영월군,기술ㆍ직업훈련학원,9
강원특별자치도,영월군,기타외국식음식점,10
강원특별자치도,영월군,기타음식점,21
강원특별자치도,영월군,꽃가게,24
강원특별자치도,영월군,내과ㆍ소아과의원,6
강원특별자치도,영월군,노래방,11
강원특별자치도,영월군,담배ㆍ복권소매업,27
강원특별자치도,영월군,당구장,39
강원특별자치도,영월군,독서실,3
