업종,시도,당월
식료품가게,경상북도,3454
식료품가게,광주광역시,1373
식료품가게,대구광역시,1678
식료품가게,대전광역시,1224
식료품가게,부산광역시,2966
식료품가게,서울특별시,5317
식료품가게,세종특별자치시,248
식료품가게,울산광역시,805
식료품가게,인천광역시,2189
식료품가게,전라남도,3494
식료품가게,전라북도,3133
식료품가게,제주특별자치도,839
식료품가게,충청남도,3253
식료품가게,충청북도,2111
신경정신과의원,강원특별자치도,32
신경정신과의원,경기도,455
신경정신과의원,경상남도,81
신경정신과의원,경상북도,42
신경정신과의원,광주광역시,67
신경정신과의원,대구광역시,130
신경정신과의원,대전광역시,82
신경정신과의원,부산광역시,180
신경정신과의원,서울특별시,672
신경정신과의원,세종특별자치시,16
신경정신과의원,울산광역시,25
신경정신과의원,인천광역시,88
신경정신과의원,전라남도,36
신경정신과의원,전라북도,69
신경정신과의원,제주특별자치도,28
신경정신과의원,충청남도,46
신경정신과의원,충청북도,55
신발가게,강원특별자치도,232
신발가게,경기도,1216
신발가게,경상남도,366
신발가게,경상북도,316
신발가게,광주광역시,184
신발가게,대구광역시,302
신발가게,대전광역시,177
신발가게,부산광역시,544
신발가게,서울특별시,1154
신발가게,세종특별자치시,30
신발가게,울산광역시,96
신발가게,인천광역시,321
신발가게,전라남도,227
신발가게,전라북도,270
신발가게,제주특별자치도,96
신발가게,충청남도,254
신발가게,충청북도,176
실내스크린골프점,강원특별자치도,290
실내스크린골프점,경기도,2458
실내스크린골프점,경상남도,610
실내스크린골프점,경상북도,424
실내스크린골프점,광주광역시,202
실내스크린골프점,대구광역시,434
실내스크린골프점,대전광역시,256
실내스크린골프점,부산광역시,435
실내스크린골프점,서울특별시,1082
실내스크린골프점,세종특별자치시,55
실내스크린골프점,울산광역시,227
실내스크린골프점,인천광역시,358
실내스크린골프점,전라남도,269
실내스크린골프점,전라북도,324
실내스크린골프점,제주특별자치도,170
실내스크린골프점,충청남도,368
실내스크린골프점,충청북도,309
실내장식가게,강원특별자치도,1953
실내장식가게,경기도,25060
실내장식가게,경상남도,4062
실내장식가게,경상북도,2799
실내장식가게,광주광역시,2859
실내장식가게,대구광역시,3757
실내장식가게,대전광역시,2660
실내장식가게,부산광역시,5489
실내장식가게,서울특별시,16690
실내장식가게,세종특별자치시,374
